sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
243,sample_243,missing,no rows in load_displacement_full.csv,30.07886366094049,30.16409804622221,225.47744629252892,30612.66284434391,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,sample_244,missing,no rows in load_displacement_full.csv,26.265718875441557,23.91043116904476,215.42351796340952,29392.699074227003,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,sample_245,missing,no rows in load_displacement_full.csv,31.148594109036942,23.014062991156067,218.59658704643712,30935.29171411827,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,sample_246,missing,no rows in load_displacement_full.csv,31.233839066207423,31.04937285412565,219.97359043005744,30960.66578643081,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,sample_247,missing,no rows in load_displacement_full.csv,34.17586662516425,28.490469219704604,221.2076648346639,31808.15958777391,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,sample_248,missing,no rows in load_displacement_full.csv,29.67333092735425,28.455967869938146,213.12792303614935,30488.255186840237,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,sample_249,missing,no rows in load_displacement_full.csv,26.33720727484612,26.96652489266867,221.07875552331492,29416.67601291456,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,sample_250,missing,no rows in load_displacement_full.csv,27.578800121859366,24.30150649114571,230.17631066090087,29826.01905684413,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,sample_251,valid,reached t=1.000 (>=95% of target); softening captured,28.94341459568402,27.06235827799826,219.49945099603696,30261.30205562224,42,True,True,10608.0,10608.0,1.0,1.0,True,20.0,20.0,37699.8203125,13.24724006652832,5091.0,27785.4609375,0.27024908109434376,0.26298160820975397,True,12155.12503543586,277.0,0.9470000267028807,0.9470000267028807,7.803382873535156,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
252,sample_252,valid,reached t=1.000 (>=95% of target); softening captured,23.44133140759471,24.735495431788948,215.61652016159596,28406.47620585334,42,True,True,12275.0,12275.0,1.0,1.0,True,20.0,20.0,30476.04296875,9.557674407958984,7254.0,18252.537109375,0.6892234576672481,0.401085727300914,True,12558.552196705225,151.0,0.9470000267028807,0.9470000267028807,9.801053047180176,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
